audio_path,duration,language,dataset_name,split,noise_condition,speaker_id,reference_text
data/kathbath/clean/wav_16k/hindi/844424932711187-645-f.wav,3.575,hi,kathbath,test_known,clean,645,दुनिया के तमाम देश भारत के साथ इस मसले पर खड़े हैं
data/kathbath/clean/wav_16k/hindi/844424930600419-888-f.wav,3.923,hi,kathbath,test_known,clean,888,ऐसे महान समाजसुधारकों ने जन सेवा को केंद्र में रखा
data/kathbath/clean/wav_16k/hindi/844424930599225-3-f.wav,6.106,hi,kathbath,test_known,clean,3,इस इवेंट में सैफ अली खान की लाड़ली बेटी सारा अली खान भी पहुंची
data/kathbath/clean/wav_16k/hindi/844424932732959-645-f.wav,3.319,hi,kathbath,test_known,clean,645,संग्रहालय देखने के बाद अंसारी अंगकोर वाट मंदिर गए
data/kathbath/clean/wav_16k/hindi/844424930805864-277-f.wav,4.039,hi,kathbath,test_known,clean,277,दूध में भरपूर मात्रा में कैल्शियम पाया जाता है
data/kathbath/clean/wav_16k/hindi/844424930639285-326-f.wav,4.411,hi,kathbath,test_known,clean,326,यहां पर भी लाइट व सफाई की पर्याप्त व्यवस्था नहीं मिली
data/kathbath/clean/wav_16k/hindi/844424932309968-1160-m.wav,6.942,hi,kathbath,test_known,clean,1160,उन्होंने प्रदेश सरकार से हठ्धर्मिता छोड़कर कर्मचारियों की लंबित मांगे पूरी करने की मांग की
data/kathbath/clean/wav_16k/hindi/844424930615251-326-f.wav,5.595,hi,kathbath,test_known,clean,326,दिवंगत वाईएसआर के शासनकाल में दलित भाइयों को पौधे दिये गये
data/kathbath/clean/wav_16k/hindi/844424930948752-277-f.wav,5.804,hi,kathbath,test_known,clean,277,अखिलेश सिंह और अंगद के पिता दोनों काफी समय से दोस्त रहे हैं
data/kathbath/clean/wav_16k/hindi/844424933475171-390-m.wav,5.409,hi,kathbath,test_known,clean,390,राजा और बुन्नू उसके विवाह के गवाह बन जाते हैं
data/kathbath/clean/wav_16k/tamil/844424933406267-974-m.wav,11.168,ta,kathbath,test_known,clean,974,காற்று குளிர்வித்தல் அமைப்பி உருளையின் வெளிபுறத்தில் வெளிகாற்று நன்கு படும்படி அமைப்பதின் மூலம் உள் எரி பொறி குளிர்விக்க படுகிறது
data/kathbath/clean/wav_16k/tamil/844424933415526-280-m.wav,5.758,ta,kathbath,test_known,clean,280,இங்கிருந்துதான் காவிரி ஆறானது காவிரி கொள்ளிடம் என இரண்டாகப் பிரிகிறது
data/kathbath/clean/wav_16k/tamil/844424932705838-146-f.wav,6.454,ta,kathbath,test_known,clean,146,அதன் மையத்தில் நீள்வட்டமான அந்தச் சுனை தொலைவிலேயே ஒளிரும் நீலநிறத்தில் தெரிந்தது
data/kathbath/clean/wav_16k/tamil/844424930462951-794-f.wav,4.295,ta,kathbath,test_known,clean,794,டோக்லாம் பகுதியில் இருந்து ராணுவத்தை வாபஸ் பெற இரு நாடுகளும் முடிவு
